content,platform,author_name
"Love your aesthetic! What preset is this?",instagram,AestheticQueen
"Your feed is goals! How do you plan it?",instagram,FeedPlanner
"What app do you use for stories?",instagram,StoryCreator
"Collab? DM me!",instagram,BrandManager
"This is so inspiring! Keep it up!",instagram,MotivatedMike
"How do you grow your engagement?",instagram,GrowthHacker
"What time do you usually post?",instagram,AlgorithmExpert
"Your captions are always perfect!",instagram,CopywriterFan
"Do you use scheduling tools?",instagram,ProductivityPro
"How do you handle negative comments?",instagram,CommunityManager
