content,platform,author_name
"What camera do you use? The quality is amazing!",youtube,TechFan123
"Can you make a tutorial on your editing process?",youtube,VideoEditor99
"Your lighting setup is incredible! What lights?",youtube,FilmmakerJoe
"How long does it take to edit one video?",youtube,AspiringCreator
"What microphone do you recommend for beginners?",youtube,AudioNerd
"Your B-roll is so smooth! Gimbal or stabilizer?",youtube,CinematicPro
"Please do a studio tour video!",youtube,SetupEnthusiast
"What software do you use for color grading?",youtube,ColorGrader
"Your thumbnails are fire! Photoshop or Canva?",youtube,DesignLover
"How do you come up with video ideas?",youtube,ContentPlanner
